mu	mu_label	target_cumulative_incidence	individuals_sampled	prob_infected_donates	optimal_depth	depth_billion	annual_reads	sample_acquisition	sample_processing	sequencing	data_processing	data_storage	labor	annual_cost	converged	achieved_prob	relative_error
1.2600000000000002e-6	1 OoM below HIV (1.26e-6)	1e-6	10000	1	999999992550	999.99999255	51999999612600	2600000	26000	129999999.0315	51999.9996126	344499.997433475	650000	133672499.02854607	FALSE	0.038	0.96
1.2600000000000002e-6	1 OoM below HIV (1.26e-6)	1e-5	10000	1	999999992550	999.99999255	51999999612600	2600000	26000	129999999.0315	51999.9996126	344499.997433475	650000	133672499.02854607	FALSE	0.4485	0.5278947368421052
1.2600000000000002e-6	1 OoM below HIV (1.26e-6)	5e-5	10000	1	649357061614	649.357061614	33766567203928	2600000	26000	84416418.00982001	33766.567203928	223703.507726023	650000	87949888.08474997	TRUE	0.962	0.01263157894736843
1.2600000000000002e-6	1 OoM below HIV (1.26e-6)	1e-4	10000	1	176029474334	176.029474334	9153532665368	2600000	26000	22883831.66342	9153.532665368	60642.153908063	650000	26229627.34999343	TRUE	0.948	0.00210526315789473
1.2600000000000002e-6	1 OoM below HIV (1.26e-6)	5e-4	10000	1	20770790536	20.770790536	1080081107872	2600000	26000	2700202.76968	1080.081107872	7155.537339652	650000	5984438.3881275235	TRUE	0.949	0.00105263157894736
1.2600000000000002e-6	1 OoM below HIV (1.26e-6)	0.001	10000	1	9765642352	9.765642352	507813402304	2600000	26000	1269533.50576	507.813402304	3364.2637902640004	650000	4549405.582952568	TRUE	0.964	0.01473684210526317
1.26e-5	HIV central    (1.26e-5)	1e-6	10000	1	999999992550	999.99999255	51999999612600	2600000	26000	129999999.0315	51999.9996126	344499.997433475	650000	133672499.02854607	FALSE	0.0715	0.9247368421052632
1.26e-5	HIV central    (1.26e-5)	1e-5	10000	1	999999992550	999.99999255	51999999612600	2600000	26000	129999999.0315	51999.9996126	344499.997433475	650000	133672499.02854607	FALSE	0.635	0.33157894736842103
1.26e-5	HIV central    (1.26e-5)	5e-5	10000	1	66781314109	66.781314109	3472628333668	2600000	26000	8681570.834169999	3472.628333668	23006.162710550496	650000	11984049.625214217	TRUE	0.958	0.00842105263157895
1.26e-5	HIV central    (1.26e-5)	1e-4	10000	1	16843783256	16.843783256	875876729312	2600000	26000	2189691.8232799997	875.876729312	5802.683331691999	650000	5472370.383341003	TRUE	0.944	0.00631578947368421
1.26e-5	HIV central    (1.26e-5)	5e-4	10000	1	2072962666	2.072962666	107794058632	2600000	26000	269485.14658	107.794058632	714.135638437	650000	3546307.076277069	TRUE	0.94	0.01052631578947369
1.26e-5	HIV central    (1.26e-5)	0.001	10000	1	976579940	0.97657994	50782156880	2600000	26000	126955.3922	50.78215688	336.43178933	650000	3403342.6061462103	TRUE	0.964	0.01473684210526317
1.2600000000000003e-4	1 OoM above HIV (1.26e-4)	1e-6	10000	1	999999992550	999.99999255	51999999612600	2600000	26000	129999999.0315	51999.9996126	344499.997433475	650000	133672499.02854607	FALSE	0.074	0.9221052631578948
1.2600000000000003e-4	1 OoM above HIV (1.26e-4)	1e-5	10000	1	999999992550	999.99999255	51999999612600	2600000	26000	129999999.0315	51999.9996126	344499.997433475	650000	133672499.02854607	FALSE	0.668	0.2968421052631578
1.2600000000000003e-4	1 OoM above HIV (1.26e-4)	5e-5	10000	1	5332949276	5.332949276	277313362352	2600000	26000	693283.40588	277.313362352	1837.201025582	650000	3971397.920267934	TRUE	0.928	0.02315789473684201
1.2600000000000003e-4	1 OoM above HIV (1.26e-4)	1e-4	10000	1	1759621053	1.759621053	91500294756	2600000	26000	228750.73689	91.500294756	606.1894527585	650000	3505448.4266375145	TRUE	0.96	0.01052631578947369
1.2600000000000003e-4	1 OoM above HIV (1.26e-4)	5e-4	10000	1	211017890	0.21101789	10972930280	2600000	26000	27432.325700000005	10.97293028	72.69566310500001	650000	3303515.994293385	TRUE	0.934	0.01684210526315779
1.2600000000000003e-4	1 OoM above HIV (1.26e-4)	0.001	10000	1	94103381	0.094103381	4893375812	2600000	26000	12233.43953	4.893375812	32.4186147545	650000	3288270.7515205666	TRUE	0.94	0.01052631578947369
