target_cumulative_incidence	individuals_sampled	mu	prob_infected_donates	optimal_depth	achieved_prob	converged	relative_error	annual_reads
1e-6	10000	1.2600000000000002e-6	1	999999992550	0.038	FALSE	0.96	51999999612600
1e-5	10000	1.2600000000000002e-6	1	999999992550	0.4485	FALSE	0.5278947368421052	51999999612600
5e-5	10000	1.2600000000000002e-6	1	649357061614	0.962	TRUE	0.012631578947368433	33766567203928
1e-4	10000	1.2600000000000002e-6	1	176029474334	0.948	TRUE	0.002105263157894739	9153532665368
5e-4	10000	1.2600000000000002e-6	1	20770790536	0.949	TRUE	0.0010526315789473695	1080081107872
0.001	10000	1.2600000000000002e-6	1	9765642352	0.964	TRUE	0.014736842105263171	507813402304
1e-6	10000	1.2600000000000001e-5	1	999999992550	0.0715	FALSE	0.9247368421052632	51999999612600
1e-5	10000	1.2600000000000001e-5	1	999999992550	0.635	FALSE	0.33157894736842103	51999999612600
5e-5	10000	1.2600000000000001e-5	1	66781314109	0.958	TRUE	0.008421052631578956	3472628333668
1e-4	10000	1.2600000000000001e-5	1	16843783256	0.944	TRUE	0.0063157894736842165	875876729312
5e-4	10000	1.2600000000000001e-5	1	2072962666	0.94	TRUE	0.010526315789473694	107794058632
0.001	10000	1.2600000000000001e-5	1	976579940	0.964	TRUE	0.014736842105263171	50782156880
1e-6	10000	1.2600000000000003e-4	1	999999992550	0.074	FALSE	0.9221052631578948	51999999612600
1e-5	10000	1.2600000000000003e-4	1	999999992550	0.668	FALSE	0.2968421052631578	51999999612600
5e-5	10000	1.2600000000000003e-4	1	5332949276	0.928	TRUE	0.02315789473684201	277313362352
1e-4	10000	1.2600000000000003e-4	1	1759621053	0.96	TRUE	0.010526315789473694	91500294756
5e-4	10000	1.2600000000000003e-4	1	211017890	0.934	TRUE	0.016842105263157794	10972930280
0.001	10000	1.2600000000000003e-4	1	94103381	0.94	TRUE	0.010526315789473694	4893375812
