target_cumulative_incidence	individuals_sampled	mu	prob_infected_donates	optimal_depth	achieved_prob	converged	relative_error	annual_reads
1e-6	2000	0.001	0.1	999999992550	0.001	FALSE	0.9989473684210526	51999999612600
1e-5	2000	0.001	0.1	999999992550	0.018	FALSE	0.9810526315789474	51999999612600
5e-5	2000	0.001	0.1	999999992550	0.1035	FALSE	0.8910526315789473	51999999612600
1e-4	2000	0.001	0.1	999999992550	0.19	FALSE	0.8	51999999612600
5e-4	2000	0.001	0.1	999999992550	0.672	FALSE	0.29263157894736835	51999999612600
0.001	2000	0.001	0.1	999999992550	0.895	FALSE	0.0578947368421052	51999999612600
1e-6	10000	0.001	0.1	999999992550	0.009	FALSE	0.9905263157894737	51999999612600
1e-5	10000	0.001	0.1	999999992550	0.0955	FALSE	0.8994736842105263	51999999612600
5e-5	10000	0.001	0.1	999999992550	0.4035	FALSE	0.5752631578947368	51999999612600
1e-4	10000	0.001	0.1	999999992550	0.6825	FALSE	0.28157894736842104	51999999612600
5e-4	10000	0.001	0.1	728609720	0.946	TRUE	0.004210526315789478	37887705440
0.001	10000	0.001	0.1	204535886	0.928	TRUE	0.02315789473684201	10635866072
1e-6	50000	0.001	0.1	999999992550	0.038	FALSE	0.96	51999999612600
1e-5	50000	0.001	0.1	999999992550	0.406	FALSE	0.5726315789473684	51999999612600
5e-5	50000	0.001	0.1	997046403618	0.954	TRUE	0.004210526315789478	51846412988136
1e-4	50000	0.001	0.1	3660770784	0.952	TRUE	0.002105263157894739	190360080768
5e-4	50000	0.001	0.1	303986236	0.94	TRUE	0.010526315789473694	15807284272
0.001	50000	0.001	0.1	132220550	0.946	TRUE	0.004210526315789478	6875468600
1e-6	100000	0.001	0.1	999999992550	0.069	FALSE	0.9273684210526316	51999999612600
1e-5	100000	0.001	0.1	999999992550	0.664	FALSE	0.3010526315789473	51999999612600
5e-5	100000	0.001	0.1	10154741470	0.968	TRUE	0.01894736842105265	528046556440
1e-4	100000	0.001	0.1	2136083984	0.946	TRUE	0.004210526315789478	111076367168
5e-4	100000	0.001	0.1	260683461	0.952	TRUE	0.002105263157894739	13555539972
0.001	100000	0.001	0.1	117721722	0.94	TRUE	0.010526315789473694	6121529544
1e-6	2000	1e-4	0.1	999999992550	0.002	FALSE	0.9978947368421053	51999999612600
1e-5	2000	1e-4	0.1	999999992550	0.02	FALSE	0.9789473684210526	51999999612600
5e-5	2000	1e-4	0.1	999999992550	0.1	FALSE	0.8947368421052632	51999999612600
1e-4	2000	1e-4	0.1	999999992550	0.1805	FALSE	0.8099999999999999	51999999612600
5e-4	2000	1e-4	0.1	999999992550	0.6605	FALSE	0.30473684210526314	51999999612600
0.001	2000	1e-4	0.1	999999992550	0.885	FALSE	0.0684210526315789	51999999612600
1e-6	10000	1e-4	0.1	999999992550	0.008	FALSE	0.991578947368421	51999999612600
1e-5	10000	1e-4	0.1	999999992550	0.093	FALSE	0.9021052631578947	51999999612600
5e-5	10000	1e-4	0.1	999999992550	0.411	FALSE	0.5673684210526315	51999999612600
1e-4	10000	1e-4	0.1	999999992550	0.662	FALSE	0.303157894736842	51999999612600
5e-4	10000	1e-4	0.1	11718767334	0.968	TRUE	0.01894736842105265	609375901368
0.001	10000	1e-4	0.1	2167287016	0.948	TRUE	0.002105263157894739	112698924832
1e-6	50000	1e-4	0.1	999999992550	0.0345	FALSE	0.9636842105263158	51999999612600
1e-5	50000	1e-4	0.1	999999992550	0.3955	FALSE	0.5836842105263158	51999999612600
5e-5	50000	1e-4	0.1	999999038876	0.942	TRUE	0.008421052631578956	51999950021552
1e-4	50000	1e-4	0.1	43610649434	0.958	TRUE	0.008421052631578956	2267753770568
5e-4	50000	1e-4	0.1	3017070428	0.95	TRUE	0	156887662256
0.001	50000	1e-4	0.1	1295524390	0.946	TRUE	0.004210526315789478	67367268280
1e-6	100000	1e-4	0.1	999999992550	0.0725	FALSE	0.9236842105263158	51999999612600
1e-5	100000	1e-4	0.1	999999992550	0.632	FALSE	0.3347368421052631	51999999612600
5e-5	100000	1e-4	0.1	78882278772	0.962	TRUE	0.012631578947368433	4101878496144
1e-4	100000	1e-4	0.1	23491906454	0.952	TRUE	0.002105263157894739	1221579135608
5e-4	100000	1e-4	0.1	2600493570	0.948	TRUE	0.002105263157894739	135225665640
0.001	100000	1e-4	0.1	1198577436	0.938	TRUE	0.012631578947368433	62326026672
1e-6	2000	1e-5	0.1	999999992550	0.002	FALSE	0.9978947368421053	51999999612600
1e-5	2000	1e-5	0.1	999999992550	0.016	FALSE	0.9831578947368421	51999999612600
5e-5	2000	1e-5	0.1	999999992550	0.1025	FALSE	0.8921052631578947	51999999612600
1e-4	2000	1e-5	0.1	999999992550	0.204	FALSE	0.7852631578947369	51999999612600
5e-4	2000	1e-5	0.1	999999992550	0.6525	FALSE	0.3131578947368421	51999999612600
0.001	2000	1e-5	0.1	999999992550	0.8805	FALSE	0.07315789473684212	51999999612600
1e-6	10000	1e-5	0.1	999999992550	0.008	FALSE	0.991578947368421	51999999612600
1e-5	10000	1e-5	0.1	999999992550	0.1015	FALSE	0.893157894736842	51999999612600
5e-5	10000	1e-5	0.1	999999992550	0.413	FALSE	0.5652631578947368	51999999612600
1e-4	10000	1e-5	0.1	999999992550	0.647	FALSE	0.3189473684210526	51999999612600
5e-4	10000	1e-5	0.1	93771757308	0.972	TRUE	0.023157894736842127	4876131380016
0.001	10000	1e-5	0.1	23590164708	0.956	TRUE	0.0063157894736842165	1226688564816
1e-6	50000	1e-5	0.1	999999992550	0.0235	FALSE	0.9752631578947368	51999999612600
