target_cumulative_incidence	individuals_sampled	mu	prob_infected_donates	optimal_depth	achieved_prob	converged	relative_error	annual_reads
1e-6	2000	0.001	0.1	999999992550	5e-4	FALSE	0.9994736842105264	51999999612600
1e-5	2000	0.001	0.1	999999992550	0.019	FALSE	0.98	51999999612600
5e-5	2000	0.001	0.1	999999992550	0.0995	FALSE	0.8952631578947368	51999999612600
1e-4	2000	0.001	0.1	999999992550	0.1845	FALSE	0.8057894736842105	51999999612600
5e-4	2000	0.001	0.1	999999992550	0.6815	FALSE	0.2826315789473684	51999999612600
0.001	2000	0.001	0.1	999999992550	0.891	FALSE	0.06210526315789468	51999999612600
1e-6	10000	0.001	0.1	999999992550	0.007	FALSE	0.9926315789473684	51999999612600
1e-5	10000	0.001	0.1	999999992550	0.108	FALSE	0.8863157894736842	51999999612600
5e-5	10000	0.001	0.1	999999992550	0.417	FALSE	0.5610526315789474	51999999612600
1e-4	10000	0.001	0.1	999999992550	0.668	FALSE	0.2968421052631578	51999999612600
5e-4	10000	0.001	0.1	915783202	0.97	TRUE	0.02105263157894739	47620726504
0.001	10000	0.001	0.1	222551388	0.96	TRUE	0.010526315789473694	11572672176
1e-6	50000	0.001	0.1	999999992550	0.0405	FALSE	0.9573684210526316	51999999612600
1e-5	50000	0.001	0.1	999999992550	0.416	FALSE	0.5621052631578948	51999999612600
5e-5	50000	0.001	0.1	497354028186	0.928	TRUE	0.02315789473684201	25862409465672
1e-4	50000	0.001	0.1	4089581494	0.96	TRUE	0.010526315789473694	212658237688
5e-4	50000	0.001	0.1	301408334	0.944	TRUE	0.0063157894736842165	15673233368
0.001	50000	0.001	0.1	130477116	0.946	TRUE	0.004210526315789478	6784810032
1e-6	100000	0.001	0.1	999999992550	0.0855	FALSE	0.9099999999999999	51999999612600
1e-5	100000	0.001	0.1	999999992550	0.6705	FALSE	0.2942105263157895	51999999612600
5e-5	100000	0.001	0.1	8392589768	0.96	TRUE	0.010526315789473694	436414667936
1e-4	100000	0.001	0.1	2105670714	0.944	TRUE	0.0063157894736842165	109494877128
5e-4	100000	0.001	0.1	263291162	0.961	TRUE	0.011578947368421064	13691140424
0.001	100000	0.001	0.1	117781326	0.938	TRUE	0.012631578947368433	6124628952
1e-6	2000	1e-4	0.1	999999992550	0.002	FALSE	0.9978947368421053	51999999612600
1e-5	2000	1e-4	0.1	999999992550	0.0245	FALSE	0.9742105263157895	51999999612600
5e-5	2000	1e-4	0.1	999999992550	0.105	FALSE	0.8894736842105263	51999999612600
1e-4	2000	1e-4	0.1	999999992550	0.1875	FALSE	0.8026315789473684	51999999612600
5e-4	2000	1e-4	0.1	999999992550	0.674	FALSE	0.29052631578947363	51999999612600
0.001	2000	1e-4	0.1	999999992550	0.887	FALSE	0.06631578947368416	51999999612600
1e-6	10000	1e-4	0.1	999999992550	0.009	FALSE	0.9905263157894737	51999999612600
1e-5	10000	1e-4	0.1	999999992550	0.0985	FALSE	0.8963157894736842	51999999612600
5e-5	10000	1e-4	0.1	999999992550	0.4085	FALSE	0.5700000000000001	51999999612600
1e-4	10000	1e-4	0.1	999999992550	0.6575	FALSE	0.3078947368421053	51999999612600
5e-4	10000	1e-4	0.1	7953676071	0.932	TRUE	0.018947368421052532	413591155692
0.001	10000	1e-4	0.1	2258899354	0.944	TRUE	0.0063157894736842165	117462766408
1e-6	50000	1e-4	0.1	999999992550	0.056	FALSE	0.9410526315789474	51999999612600
1e-5	50000	1e-4	0.1	999999992550	0.405	FALSE	0.5736842105263158	51999999612600
